"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","experiment_id","prolific_pid","prolific_study_id","prolific_session_id","task","item_id","condition","item_type","sentence","rating"
"4862","
      <div class=""panel"">
        <h1>Hoşgeldiniz!</h1>
        <p class=""lede"">Ortalama 5-6 dakika süren bu çalışmada Türkçe cümlelerin kulağa doğal gelip gelmediğine karar vermeniz istenecek.</p>
        <p class=""lede"">Bu çalışmada doğru veya yanlış bir cevap bulunmuyor, karar verirken kendi içgüdülerinize göre davranmalısınız.</p>
        <p class=""lede"">Lütfen cümleleri gördüğünüzde dürüstçe ve dikkatlice karar veriniz.</p>
        <p class=""lede"">Devam butonuna basarak anadilinizin Türkçe olduğunu ve 18 yaşından büyük olduğunuzu onaylamış olacaksınız.</p>
        <p class=""lede"">Katılımınız için teşekkür ederim!</p>

        </div>
    ","0","html-button-response","0","4885","0.0-0.0-0.0","w10yso5dc2","MmjD9uQZYa6C","5f919274b5383b00096b0295","6a0b88ce4eefadb4f6c14042","6a0b8aba32336452521cdf3f","","","","","",""
"8527","
      <div class=""panel"">
        <h2>Yönerge</h2>
        <ul class=""intro-list"">
          <li>Cümleleri ardışık olarak birer kez göreceksiniz.</li>
          <li>Değerlendirmenizi belirtmek için 0'dan 4'e kadar sıralanmış butonları kullanınız.</li>
          <li>0 puan, cümleyi çok tuhaf bulduğunuz ve sizin bu cümleyi günlük hayatınızda kullanmayacağınız anlamına gelmektedir.</li>
          <li>4 puan cümlede hiçbir sorun yok anlamına gelmektedir.</li>
          <li>Derecelendirmeyi cümlenin rahatsız edicilik seviyesine göre belirleyiniz.</li>
          <li>Lütfen içgüdünüze güvenin!</li>
        </ul>
      </div>
    ","0","html-button-response","1","13416","0.0-0.0-1.0","w10yso5dc2","MmjD9uQZYa6C","5f919274b5383b00096b0295","6a0b88ce4eefadb4f6c14042","6a0b8aba32336452521cdf3f","","","","","",""
"4040","
        <div class=""panel"">
          <div class=""sentence-box"">Askı gömleği düşürdü.</div>
          <div class=""scale-note"">Bu cümle size doğal geliyor mu?</div>
        </div>
      ","1","html-button-response","2","17462","0.0-1.0","w10yso5dc2","MmjD9uQZYa6C","5f919274b5383b00096b0295","6a0b88ce4eefadb4f6c14042","6a0b8aba32336452521cdf3f","acceptability_rating","20","low_energy","critical","Askı gömleği düşürdü.","1"
"2911","
        <div class=""panel"">
          <div class=""sentence-box"">Ocak eti pişirdi.</div>
          <div class=""scale-note"">Bu cümle size doğal geliyor mu?</div>
        </div>
      ","1","html-button-response","3","20377","0.0-2.0","w10yso5dc2","MmjD9uQZYa6C","5f919274b5383b00096b0295","6a0b88ce4eefadb4f6c14042","6a0b8aba32336452521cdf3f","acceptability_rating","12","high_energy","critical","Ocak eti pişirdi.","1"
"3446","
        <div class=""panel"">
          <div class=""sentence-box"">Renkler buzu soğuttu.</div>
          <div class=""scale-note"">Bu cümle size doğal geliyor mu?</div>
        </div>
      ","0","html-button-response","4","23826","0.0-3.0","w10yso5dc2","MmjD9uQZYa6C","5f919274b5383b00096b0295","6a0b88ce4eefadb4f6c14042","6a0b8aba32336452521cdf3f","acceptability_rating","36","semantic_violation","filler","Renkler buzu soğuttu.","0"
"2777","
        <div class=""panel"">
          <div class=""sentence-box"">Isıtıcı kahveyi ısıttı.</div>
          <div class=""scale-note"">Bu cümle size doğal geliyor mu?</div>
        </div>
      ","2","html-button-response","5","26605","0.0-4.0","w10yso5dc2","MmjD9uQZYa6C","5f919274b5383b00096b0295","6a0b88ce4eefadb4f6c14042","6a0b8aba32336452521cdf3f","acceptability_rating","3","high_energy","critical","Isıtıcı kahveyi ısıttı.","2"
"3326","
        <div class=""panel"">
          <div class=""sentence-box"">Yıldırım bekçiyi öldürdü.</div>
          <div class=""scale-note"">Bu cümle size doğal geliyor mu?</div>
        </div>
      ","4","html-button-response","6","29933","0.0-5.0","w10yso5dc2","MmjD9uQZYa6C","5f919274b5383b00096b0295","6a0b88ce4eefadb4f6c14042","6a0b8aba32336452521cdf3f","acceptability_rating","8","high_energy","critical","Yıldırım bekçiyi öldürdü.","4"
"6595","
        <div class=""panel"">
          <div class=""sentence-box"">Okul geçtiğimiz yıl 22 mezun verecek.</div>
          <div class=""scale-note"">Bu cümle size doğal geliyor mu?</div>
        </div>
      ","1","html-button-response","7","36530","0.0-6.0","w10yso5dc2","MmjD9uQZYa6C","5f919274b5383b00096b0295","6a0b88ce4eefadb4f6c14042","6a0b8aba32336452521cdf3f","acceptability_rating","43","tense_mismatch","filler","Okul geçtiğimiz yıl 22 mezun verecek.","1"
"3614","
        <div class=""panel"">
          <div class=""sentence-box"">Klima tahtayı dondurdu.</div>
          <div class=""scale-note"">Bu cümle size doğal geliyor mu?</div>
        </div>
      ","3","html-button-response","8","40147","0.0-7.0","w10yso5dc2","MmjD9uQZYa6C","5f919274b5383b00096b0295","6a0b88ce4eefadb4f6c14042","6a0b8aba32336452521cdf3f","acceptability_rating","34","semantic_violation","filler","Klima tahtayı dondurdu.","3"
"2461","
        <div class=""panel"">
          <div class=""sentence-box"">Diş fırçası dişleri temizledi.</div>
          <div class=""scale-note"">Bu cümle size doğal geliyor mu?</div>
        </div>
      ","3","html-button-response","9","42610","0.0-8.0","w10yso5dc2","MmjD9uQZYa6C","5f919274b5383b00096b0295","6a0b88ce4eefadb4f6c14042","6a0b8aba32336452521cdf3f","acceptability_rating","30","low_energy","critical","Diş fırçası dişleri temizledi.","3"
"4412","
        <div class=""panel"">
          <div class=""sentence-box"">Gözlük camı kelimeleri büyüttü.</div>
          <div class=""scale-note"">Bu cümle size doğal geliyor mu?</div>
        </div>
      ","2","html-button-response","10","47024","0.0-9.0","w10yso5dc2","MmjD9uQZYa6C","5f919274b5383b00096b0295","6a0b88ce4eefadb4f6c14042","6a0b8aba32336452521cdf3f","acceptability_rating","7","high_energy","critical","Gözlük camı kelimeleri büyüttü.","2"
"2988","
        <div class=""panel"">
          <div class=""sentence-box"">Otobüs biraz önce kalkacak.</div>
          <div class=""scale-note"">Bu cümle size doğal geliyor mu?</div>
        </div>
      ","1","html-button-response","11","50014","0.0-10.0","w10yso5dc2","MmjD9uQZYa6C","5f919274b5383b00096b0295","6a0b88ce4eefadb4f6c14042","6a0b8aba32336452521cdf3f","acceptability_rating","44","tense_mismatch","filler","Otobüs biraz önce kalkacak.","1"
"2765","
        <div class=""panel"">
          <div class=""sentence-box"">Yarın Nilüfer bu parçayı söyledi.</div>
          <div class=""scale-note"">Bu cümle size doğal geliyor mu?</div>
        </div>
      ","1","html-button-response","12","52781","0.0-11.0","w10yso5dc2","MmjD9uQZYa6C","5f919274b5383b00096b0295","6a0b88ce4eefadb4f6c14042","6a0b8aba32336452521cdf3f","acceptability_rating","46","tense_mismatch","filler","Yarın Nilüfer bu parçayı söyledi.","1"
"2810","
        <div class=""panel"">
          <div class=""sentence-box"">Çatal erişteyi ezdi.</div>
          <div class=""scale-note"">Bu cümle size doğal geliyor mu?</div>
        </div>
      ","1","html-button-response","13","55593","0.0-12.0","w10yso5dc2","MmjD9uQZYa6C","5f919274b5383b00096b0295","6a0b88ce4eefadb4f6c14042","6a0b8aba32336452521cdf3f","acceptability_rating","16","low_energy","critical","Çatal erişteyi ezdi.","1"
"2576","
        <div class=""panel"">
          <div class=""sentence-box"">Klima duvara takılacak.</div>
          <div class=""scale-note"">Bu cümle size doğal geliyor mu?</div>
        </div>
      ","4","html-button-response","14","58170","0.0-13.0","w10yso5dc2","MmjD9uQZYa6C","5f919274b5383b00096b0295","6a0b88ce4eefadb4f6c14042","6a0b8aba32336452521cdf3f","acceptability_rating","48","grammatical","filler","Klima duvara takılacak.","4"
"2215","
        <div class=""panel"">
          <div class=""sentence-box"">Ceket çocuğu ısıttı.</div>
          <div class=""scale-note"">Bu cümle size doğal geliyor mu?</div>
        </div>
      ","2","html-button-response","15","60386","0.0-14.0","w10yso5dc2","MmjD9uQZYa6C","5f919274b5383b00096b0295","6a0b88ce4eefadb4f6c14042","6a0b8aba32336452521cdf3f","acceptability_rating","22","low_energy","critical","Ceket çocuğu ısıttı.","2"
"3503","
        <div class=""panel"">
          <div class=""sentence-box"">Bulaşık makinesi bulaşıkları çalkaladı.</div>
          <div class=""scale-note"">Bu cümle size doğal geliyor mu?</div>
        </div>
      ","1","html-button-response","16","63890","0.0-15.0","w10yso5dc2","MmjD9uQZYa6C","5f919274b5383b00096b0295","6a0b88ce4eefadb4f6c14042","6a0b8aba32336452521cdf3f","acceptability_rating","5","high_energy","critical","Bulaşık makinesi bulaşıkları çalkaladı.","1"
"2080","
        <div class=""panel"">
          <div class=""sentence-box"">Buzdolabı birayı soğuttu.</div>
          <div class=""scale-note"">Bu cümle size doğal geliyor mu?</div>
        </div>
      ","3","html-button-response","17","65972","0.0-16.0","w10yso5dc2","MmjD9uQZYa6C","5f919274b5383b00096b0295","6a0b88ce4eefadb4f6c14042","6a0b8aba32336452521cdf3f","acceptability_rating","10","high_energy","critical","Buzdolabı birayı soğuttu.","3"
