"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","experiment_id","task","item_id","condition","item_type","sentence","rating"
"16916","
      <div class=""panel"">
        <h1>Hoşgeldiniz!</h1>
        <p class=""lede"">Ortalama 5-6 dakika süren bu çalışmada Türkçe cümlelerin kulağa doğal gelip gelmediğine karar vermeniz istenecek.</p>
        <p class=""lede"">Bu çalışmada doğru veya yanlış bir cevap bulunmuyor, karar verirken kendi içgüdülerinize göre davranmalısınız.</p>
        <p class=""lede"">Lütfen cümleleri gördüğünüzde dürüstçe ve dikkatlice karar veriniz.</p>
        <p class=""lede"">Devam butonuna basarak anadilinizin Türkçe olduğunu ve 18 yaşından büyük olduğunuzu onaylamış olacaksınız.</p>
        <p class=""lede"">Katılımınız için teşekkür ederim!</p>

        </div>
    ","0","html-button-response","0","16918","0.0-0.0-0.0","ocjv889qc3","MmjD9uQZYa6C","","","","","",""
"31573","
      <div class=""panel"">
        <h2>Yönerge</h2>
        <ul class=""intro-list"">
          <li>Cümleleri ardışık olarak birer kez göreceksiniz.</li>
          <li>Değerlendirmenizi belirtmek için 0'dan 4'e kadar sıralanmış butonları kullanınız.</li>
          <li>0 puan, cümleyi çok tuhaf bulduğunuz ve sizin bu cümleyi günlük hayatınızda kullanmayacağınız anlamına gelmektedir.</li>
          <li>4 puan cümlede hiçbir sorun yok anlamına gelmektedir.</li>
          <li>Derecelendirmeyi cümlenin rahatsız edicilik seviyesine göre belirleyiniz.</li>
          <li>Lütfen içgüdünüze güvenin!</li>
        </ul>
      </div>
    ","0","html-button-response","1","48492","0.0-0.0-1.0","ocjv889qc3","MmjD9uQZYa6C","","","","","",""
"7933","
        <div class=""panel"">
          <div class=""sentence-box"">Güneş kıyafetleri kuruttu.</div>
          <div class=""scale-note"">Bu cümle size doğal geliyor mu?</div>
        </div>
      ","4","html-button-response","2","56427","0.0-1.0","ocjv889qc3","MmjD9uQZYa6C","acceptability_rating","13","high_energy","critical","Güneş kıyafetleri kuruttu.","4"
"4180","
        <div class=""panel"">
          <div class=""sentence-box"">Silgi lekeyi sildi.</div>
          <div class=""scale-note"">Bu cümle size doğal geliyor mu?</div>
        </div>
      ","4","html-button-response","3","60609","0.0-2.0","ocjv889qc3","MmjD9uQZYa6C","acceptability_rating","18","low_energy","critical","Silgi lekeyi sildi.","4"
"6701","
        <div class=""panel"">
          <div class=""sentence-box"">Çocuklar karanlığı çok korktu.</div>
          <div class=""scale-note"">Bu cümle size doğal geliyor mu?</div>
        </div>
      ","0","html-button-response","4","67311","0.0-3.0","ocjv889qc3","MmjD9uQZYa6C","acceptability_rating","39","case_marking_error","filler","Çocuklar karanlığı çok korktu.","0"
"4433","
        <div class=""panel"">
          <div class=""sentence-box"">Ceket çocuğu ısıttı.</div>
          <div class=""scale-note"">Bu cümle size doğal geliyor mu?</div>
        </div>
      ","4","html-button-response","5","71745","0.0-4.0","ocjv889qc3","MmjD9uQZYa6C","acceptability_rating","22","low_energy","critical","Ceket çocuğu ısıttı.","4"
"6216","
        <div class=""panel"">
          <div class=""sentence-box"">Renkler buzu soğuttu.</div>
          <div class=""scale-note"">Bu cümle size doğal geliyor mu?</div>
        </div>
      ","0","html-button-response","6","77963","0.0-5.0","ocjv889qc3","MmjD9uQZYa6C","acceptability_rating","36","semantic_violation","filler","Renkler buzu soğuttu.","0"
"2632","
        <div class=""panel"">
          <div class=""sentence-box"">Kalem notu yazdı.</div>
          <div class=""scale-note"">Bu cümle size doğal geliyor mu?</div>
        </div>
      ","4","html-button-response","7","80597","0.0-6.0","ocjv889qc3","MmjD9uQZYa6C","acceptability_rating","26","low_energy","critical","Kalem notu yazdı.","4"
"1882","
        <div class=""panel"">
          <div class=""sentence-box"">Deniz dalgalanmaya başladı.</div>
          <div class=""scale-note"">Bu cümle size doğal geliyor mu?</div>
        </div>
      ","4","html-button-response","8","82480","0.0-7.0","ocjv889qc3","MmjD9uQZYa6C","acceptability_rating","50","grammatical","filler","Deniz dalgalanmaya başladı.","4"
"2648","
        <div class=""panel"">
          <div class=""sentence-box"">Okul geçtiğimiz yıl 22 mezun verecek.</div>
          <div class=""scale-note"">Bu cümle size doğal geliyor mu?</div>
        </div>
      ","4","html-button-response","9","85130","0.0-8.0","ocjv889qc3","MmjD9uQZYa6C","acceptability_rating","43","tense_mismatch","filler","Okul geçtiğimiz yıl 22 mezun verecek.","4"
