"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","experiment_id","task","item_id","condition","item_type","sentence","rating"
"5383","
      <div class=""panel"">
        <h1>Hoşgeldiniz!</h1>
        <p class=""lede"">Ortalama 5-6 dakika süren bu çalışmada Türkçe cümlelerin kulağa doğal gelip gelmediğine karar vermeniz istenecek.</p>
        <p class=""lede"">Bu çalışmada doğru veya yanlış bir cevap bulunmuyor, karar verirken kendi içgüdülerinize göre davranmalısınız.</p>
        <p class=""lede"">Lütfen cümleleri gördüğünüzde dürüstçe ve dikkatlice karar veriniz.</p>
        <p class=""lede"">Devam butonuna basarak anadilinizin Türkçe olduğunu ve 18 yaşından büyük olduğunuzu onaylamış olacaksınız.</p>
        <p class=""lede"">Katılımınız için teşekkür ederim!</p>

        </div>
    ","0","html-button-response","0","5396","0.0-0.0-0.0","rpkl8u5e5b","MmjD9uQZYa6C","","","","","",""
"10546","
      <div class=""panel"">
        <h2>Yönerge</h2>
        <ul class=""intro-list"">
          <li>Cümleleri ardışık olarak birer kez göreceksiniz.</li>
          <li>Değerlendirmenizi belirtmek için 0'dan 4'e kadar sıralanmış butonları kullanınız.</li>
          <li>0 puan, cümleyi çok tuhaf bulduğunuz ve sizin bu cümleyi günlük hayatınızda kullanmayacağınız anlamına gelmektedir.</li>
          <li>4 puan cümlede hiçbir sorun yok anlamına gelmektedir.</li>
          <li>Derecelendirmeyi cümlenin rahatsız edicilik seviyesine göre belirleyiniz.</li>
          <li>Lütfen içgüdünüze güvenin!</li>
        </ul>
      </div>
    ","0","html-button-response","1","15945","0.0-0.0-1.0","rpkl8u5e5b","MmjD9uQZYa6C","","","","","",""
"15194","
        <div class=""panel"">
          <div class=""sentence-box"">Anahtar kapıyı kilitledi.</div>
          <div class=""scale-note"">Bu cümle size doğal geliyor mu?</div>
        </div>
      ","4","html-button-response","2","31141","0.0-1.0","rpkl8u5e5b","MmjD9uQZYa6C","acceptability_rating","24","low_energy","critical","Anahtar kapıyı kilitledi.","4"
"1088","
        <div class=""panel"">
          <div class=""sentence-box"">Su gömleği kuruttu.</div>
          <div class=""scale-note"">Bu cümle size doğal geliyor mu?</div>
        </div>
      ","4","html-button-response","3","32230","0.0-2.0","rpkl8u5e5b","MmjD9uQZYa6C","acceptability_rating","35","semantic_violation","filler","Su gömleği kuruttu.","4"
"11150","
        <div class=""panel"">
          <div class=""sentence-box"">Aylin her gün otobüsü bindi.</div>
          <div class=""scale-note"">Bu cümle size doğal geliyor mu?</div>
        </div>
      ","0","html-button-response","4","43381","0.0-3.0","rpkl8u5e5b","MmjD9uQZYa6C","acceptability_rating","38","case_marking_error","filler","Aylin her gün otobüsü bindi.","0"
"12350","
        <div class=""panel"">
          <div class=""sentence-box"">Renkler buzu soğuttu.</div>
          <div class=""scale-note"">Bu cümle size doğal geliyor mu?</div>
        </div>
      ","0","html-button-response","5","55735","0.0-4.0","rpkl8u5e5b","MmjD9uQZYa6C","acceptability_rating","36","semantic_violation","filler","Renkler buzu soğuttu.","0"
"7177","
        <div class=""panel"">
          <div class=""sentence-box"">Yıldırım bekçiyi öldürdü.</div>
          <div class=""scale-note"">Bu cümle size doğal geliyor mu?</div>
        </div>
      ","4","html-button-response","6","62913","0.0-5.0","rpkl8u5e5b","MmjD9uQZYa6C","acceptability_rating","8","high_energy","critical","Yıldırım bekçiyi öldürdü.","4"
"14719","
        <div class=""panel"">
          <div class=""sentence-box"">Otobüs biraz önce kalkacak.</div>
          <div class=""scale-note"">Bu cümle size doğal geliyor mu?</div>
        </div>
      ","0","html-button-response","7","77633","0.0-6.0","rpkl8u5e5b","MmjD9uQZYa6C","acceptability_rating","44","tense_mismatch","filler","Otobüs biraz önce kalkacak.","0"
"10637","
        <div class=""panel"">
          <div class=""sentence-box"">Kalem notu yazdı.</div>
          <div class=""scale-note"">Bu cümle size doğal geliyor mu?</div>
        </div>
      ","0","html-button-response","8","88271","0.0-7.0","rpkl8u5e5b","MmjD9uQZYa6C","acceptability_rating","26","low_energy","critical","Kalem notu yazdı.","0"
"5363","
        <div class=""panel"">
          <div class=""sentence-box"">Bebek annesine özledi.</div>
          <div class=""scale-note"">Bu cümle size doğal geliyor mu?</div>
        </div>
      ","0","html-button-response","9","93635","0.0-8.0","rpkl8u5e5b","MmjD9uQZYa6C","acceptability_rating","40","case_marking_error","filler","Bebek annesine özledi.","0"
"8669","
        <div class=""panel"">
          <div class=""sentence-box"">Ekmek kızartma makinesi ekmeği kızarttı.</div>
          <div class=""scale-note"">Bu cümle size doğal geliyor mu?</div>
        </div>
      ","4","html-button-response","10","102305","0.0-9.0","rpkl8u5e5b","MmjD9uQZYa6C","acceptability_rating","14","high_energy","critical","Ekmek kızartma makinesi ekmeği kızarttı.","4"
"6745","
        <div class=""panel"">
          <div class=""sentence-box"">İnsanlar yüksek sesten rahatsız oldu.</div>
          <div class=""scale-note"">Bu cümle size doğal geliyor mu?</div>
        </div>
      ","4","html-button-response","11","109050","0.0-10.0","rpkl8u5e5b","MmjD9uQZYa6C","acceptability_rating","49","grammatical","filler","İnsanlar yüksek sesten rahatsız oldu.","4"
"6957","
        <div class=""panel"">
          <div class=""sentence-box"">Topuklu ayakkabı zemini çizdi.</div>
          <div class=""scale-note"">Bu cümle size doğal geliyor mu?</div>
        </div>
      ","4","html-button-response","12","116009","0.0-11.0","rpkl8u5e5b","MmjD9uQZYa6C","acceptability_rating","21","low_energy","critical","Topuklu ayakkabı zemini çizdi.","4"
"5911","
        <div class=""panel"">
          <div class=""sentence-box"">Dünkü sert güneş şarkıyı eritti.</div>
          <div class=""scale-note"">Bu cümle size doğal geliyor mu?</div>
        </div>
      ","0","html-button-response","13","121920","0.0-12.0","rpkl8u5e5b","MmjD9uQZYa6C","acceptability_rating","32","semantic_violation","filler","Dünkü sert güneş şarkıyı eritti.","0"
"6033","
        <div class=""panel"">
          <div class=""sentence-box"">Klima odayı soğuttu.</div>
          <div class=""scale-note"">Bu cümle size doğal geliyor mu?</div>
        </div>
      ","4","html-button-response","14","127955","0.0-13.0","rpkl8u5e5b","MmjD9uQZYa6C","acceptability_rating","1","high_energy","critical","Klima odayı soğuttu.","4"
"6941","
        <div class=""panel"">
          <div class=""sentence-box"">Kaşık dondurmayı taşıdı.</div>
          <div class=""scale-note"">Bu cümle size doğal geliyor mu?</div>
        </div>
      ","0","html-button-response","15","134898","0.0-14.0","rpkl8u5e5b","MmjD9uQZYa6C","acceptability_rating","28","low_energy","critical","Kaşık dondurmayı taşıdı.","0"
"9451","
        <div class=""panel"">
          <div class=""sentence-box"">Çekiç vazoyu kırdı.</div>
          <div class=""scale-note"">Bu cümle size doğal geliyor mu?</div>
        </div>
      ","4","html-button-response","16","144349","0.0-15.0","rpkl8u5e5b","MmjD9uQZYa6C","acceptability_rating","19","low_energy","critical","Çekiç vazoyu kırdı.","4"
"3793","
        <div class=""panel"">
          <div class=""sentence-box"">Öğrenciler sessizliği ısıttı.</div>
          <div class=""scale-note"">Bu cümle size doğal geliyor mu?</div>
        </div>
      ","0","html-button-response","17","148143","0.0-16.0","rpkl8u5e5b","MmjD9uQZYa6C","acceptability_rating","31","semantic_violation","filler","Öğrenciler sessizliği ısıttı.","0"
"8682","
        <div class=""panel"">
          <div class=""sentence-box"">Askı gömleği düşürdü.</div>
          <div class=""scale-note"">Bu cümle size doğal geliyor mu?</div>
        </div>
      ","0","html-button-response","18","156826","0.0-17.0","rpkl8u5e5b","MmjD9uQZYa6C","acceptability_rating","20","low_energy","critical","Askı gömleği düşürdü.","0"
"7276","
        <div class=""panel"">
          <div class=""sentence-box"">Bıçak ekmeği kesti.</div>
          <div class=""scale-note"">Bu cümle size doğal geliyor mu?</div>
        </div>
      ","4","html-button-response","19","164103","0.0-18.0","rpkl8u5e5b","MmjD9uQZYa6C","acceptability_rating","25","low_energy","critical","Bıçak ekmeği kesti.","4"
"17891","
        <div class=""panel"">
          <div class=""sentence-box"">Çatal erişteyi ezdi.</div>
          <div class=""scale-note"">Bu cümle size doğal geliyor mu?</div>
        </div>
      ","0","html-button-response","20","181995","0.0-19.0","rpkl8u5e5b","MmjD9uQZYa6C","acceptability_rating","16","low_energy","critical","Çatal erişteyi ezdi.","0"
