"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","experiment_id","task","item_id","condition","item_type","sentence","rating"
"4851","
      <div class=""panel"">
        <h1>Hoşgeldiniz!</h1>
        <p class=""lede"">Ortalama 5-6 dakika süren bu çalışmada Türkçe cümlelerin kulağa doğal gelip gelmediğine karar vermeniz istenecek.</p>
        <p class=""lede"">Bu çalışmada doğru veya yanlış bir cevap bulunmuyor, karar verirken kendi içgüdülerinize göre davranmalısınız.</p>
        <p class=""lede"">Lütfen cümleleri gördüğünüzde dürüstçe ve dikkatlice karar veriniz.</p>
        <p class=""lede"">Devam butonuna basarak anadilinizin Türkçe olduğunu ve 18 yaşından büyük olduğunuzu onaylamış olacaksınız.</p>
        <p class=""lede"">Katılımınız için teşekkür ederim!</p>

        </div>
    ","0","html-button-response","0","4863","0.0-0.0-0.0","p6qvd2p97k","MmjD9uQZYa6C","","","","","",""
"17310","
      <div class=""panel"">
        <h2>Yönerge</h2>
        <ul class=""intro-list"">
          <li>Cümleleri ardışık olarak birer kez göreceksiniz.</li>
          <li>Değerlendirmenizi belirtmek için 0'dan 4'e kadar sıralanmış butonları kullanınız.</li>
          <li>0 puan, cümleyi çok tuhaf bulduğunuz ve sizin bu cümleyi günlük hayatınızda kullanmayacağınız anlamına gelmektedir.</li>
          <li>4 puan cümlede hiçbir sorun yok anlamına gelmektedir.</li>
          <li>Derecelendirmeyi cümlenin rahatsız edicilik seviyesine göre belirleyiniz.</li>
          <li>Lütfen içgüdünüze güvenin!</li>
        </ul>
      </div>
    ","0","html-button-response","1","22177","0.0-0.0-1.0","p6qvd2p97k","MmjD9uQZYa6C","","","","","",""
"5884","
        <div class=""panel"">
          <div class=""sentence-box"">Topuklu ayakkabı zemini çizdi.</div>
          <div class=""scale-note"">Bu cümle size doğal geliyor mu?</div>
        </div>
      ","2","html-button-response","2","28065","0.0-1.0","p6qvd2p97k","MmjD9uQZYa6C","acceptability_rating","21","low_energy","critical","Topuklu ayakkabı zemini çizdi.","2"
"3191","
        <div class=""panel"">
          <div class=""sentence-box"">Kaşık dondurmayı taşıdı.</div>
          <div class=""scale-note"">Bu cümle size doğal geliyor mu?</div>
        </div>
      ","0","html-button-response","3","31257","0.0-2.0","p6qvd2p97k","MmjD9uQZYa6C","acceptability_rating","28","low_energy","critical","Kaşık dondurmayı taşıdı.","0"
"2592","
        <div class=""panel"">
          <div class=""sentence-box"">Buzdolabı birayı soğuttu.</div>
          <div class=""scale-note"">Bu cümle size doğal geliyor mu?</div>
        </div>
      ","1","html-button-response","4","33854","0.0-3.0","p6qvd2p97k","MmjD9uQZYa6C","acceptability_rating","10","high_energy","critical","Buzdolabı birayı soğuttu.","1"
"4941","
        <div class=""panel"">
          <div class=""sentence-box"">Ceket çocuğu ısıttı.</div>
          <div class=""scale-note"">Bu cümle size doğal geliyor mu?</div>
        </div>
      ","3","html-button-response","5","38797","0.0-4.0","p6qvd2p97k","MmjD9uQZYa6C","acceptability_rating","22","low_energy","critical","Ceket çocuğu ısıttı.","3"
"2029","
        <div class=""panel"">
          <div class=""sentence-box"">Kalem notu yazdı.</div>
          <div class=""scale-note"">Bu cümle size doğal geliyor mu?</div>
        </div>
      ","0","html-button-response","6","40827","0.0-5.0","p6qvd2p97k","MmjD9uQZYa6C","acceptability_rating","26","low_energy","critical","Kalem notu yazdı.","0"
"3228","
        <div class=""panel"">
          <div class=""sentence-box"">Aylin camı çatlattı.</div>
          <div class=""scale-note"">Bu cümle size doğal geliyor mu?</div>
        </div>
      ","4","html-button-response","7","44056","0.0-6.0","p6qvd2p97k","MmjD9uQZYa6C","acceptability_rating","47","grammatical","filler","Aylin camı çatlattı.","4"
"2594","
        <div class=""panel"">
          <div class=""sentence-box"">Ayakkabı düşünceyi çatlattı.</div>
          <div class=""scale-note"">Bu cümle size doğal geliyor mu?</div>
        </div>
      ","0","html-button-response","8","46652","0.0-7.0","p6qvd2p97k","MmjD9uQZYa6C","acceptability_rating","33","semantic_violation","filler","Ayakkabı düşünceyi çatlattı.","0"
"2695","
        <div class=""panel"">
          <div class=""sentence-box"">Çaydanlık çayı demledi.</div>
          <div class=""scale-note"">Bu cümle size doğal geliyor mu?</div>
        </div>
      ","1","html-button-response","9","49349","0.0-8.0","p6qvd2p97k","MmjD9uQZYa6C","acceptability_rating","23","low_energy","critical","Çaydanlık çayı demledi.","1"
"2209","
        <div class=""panel"">
          <div class=""sentence-box"">Anahtar kapıyı kilitledi.</div>
          <div class=""scale-note"">Bu cümle size doğal geliyor mu?</div>
        </div>
      ","1","html-button-response","10","51560","0.0-9.0","p6qvd2p97k","MmjD9uQZYa6C","acceptability_rating","24","low_energy","critical","Anahtar kapıyı kilitledi.","1"
"2447","
        <div class=""panel"">
          <div class=""sentence-box"">Taş pencereyi kırdı.</div>
          <div class=""scale-note"">Bu cümle size doğal geliyor mu?</div>
        </div>
      ","3","html-button-response","11","54008","0.0-10.0","p6qvd2p97k","MmjD9uQZYa6C","acceptability_rating","29","low_energy","critical","Taş pencereyi kırdı.","3"
"2928","
        <div class=""panel"">
          <div class=""sentence-box"">Çekiç vazoyu kırdı.</div>
          <div class=""scale-note"">Bu cümle size doğal geliyor mu?</div>
        </div>
      ","2","html-button-response","12","56937","0.0-11.0","p6qvd2p97k","MmjD9uQZYa6C","acceptability_rating","19","low_energy","critical","Çekiç vazoyu kırdı.","2"
"4925","
        <div class=""panel"">
          <div class=""sentence-box"">Çocuklar karanlığı çok korktu.</div>
          <div class=""scale-note"">Bu cümle size doğal geliyor mu?</div>
        </div>
      ","1","html-button-response","13","61864","0.0-12.0","p6qvd2p97k","MmjD9uQZYa6C","acceptability_rating","39","case_marking_error","filler","Çocuklar karanlığı çok korktu.","1"
"2678","
        <div class=""panel"">
          <div class=""sentence-box"">Deniz dalgalanmaya başladı.</div>
          <div class=""scale-note"">Bu cümle size doğal geliyor mu?</div>
        </div>
      ","4","html-button-response","14","64543","0.0-13.0","p6qvd2p97k","MmjD9uQZYa6C","acceptability_rating","50","grammatical","filler","Deniz dalgalanmaya başladı.","4"
"3111","
        <div class=""panel"">
          <div class=""sentence-box"">Bulaşık makinesi bulaşıkları çalkaladı.</div>
          <div class=""scale-note"">Bu cümle size doğal geliyor mu?</div>
        </div>
      ","3","html-button-response","15","67655","0.0-14.0","p6qvd2p97k","MmjD9uQZYa6C","acceptability_rating","5","high_energy","critical","Bulaşık makinesi bulaşıkları çalkaladı.","3"
"4609","
        <div class=""panel"">
          <div class=""sentence-box"">Yıldırım bekçiyi öldürdü.</div>
          <div class=""scale-note"">Bu cümle size doğal geliyor mu?</div>
        </div>
      ","4","html-button-response","16","72266","0.0-15.0","p6qvd2p97k","MmjD9uQZYa6C","acceptability_rating","8","high_energy","critical","Yıldırım bekçiyi öldürdü.","4"
"3608","
        <div class=""panel"">
          <div class=""sentence-box"">Aylin arkadaşını saldırdı.</div>
          <div class=""scale-note"">Bu cümle size doğal geliyor mu?</div>
        </div>
      ","1","html-button-response","17","75877","0.0-16.0","p6qvd2p97k","MmjD9uQZYa6C","acceptability_rating","41","case_marking_error","filler","Aylin arkadaşını saldırdı.","1"
"5938","
        <div class=""panel"">
          <div class=""sentence-box"">Elektrikli su ısıtıcısı suyu kaynattı.</div>
          <div class=""scale-note"">Bu cümle size doğal geliyor mu?</div>
        </div>
      ","3","html-button-response","18","81817","0.0-17.0","p6qvd2p97k","MmjD9uQZYa6C","acceptability_rating","6","high_energy","critical","Elektrikli su ısıtıcısı suyu kaynattı.","3"
"3096","
        <div class=""panel"">
          <div class=""sentence-box"">Soba kabini ısıttı.</div>
          <div class=""scale-note"">Bu cümle size doğal geliyor mu?</div>
        </div>
      ","4","html-button-response","19","84915","0.0-18.0","p6qvd2p97k","MmjD9uQZYa6C","acceptability_rating","11","high_energy","critical","Soba kabini ısıttı.","4"
"2942","
        <div class=""panel"">
          <div class=""sentence-box"">Aşçı yemeği dün pişirecek.</div>
          <div class=""scale-note"">Bu cümle size doğal geliyor mu?</div>
        </div>
      ","0","html-button-response","20","87859","0.0-19.0","p6qvd2p97k","MmjD9uQZYa6C","acceptability_rating","45","tense_mismatch","filler","Aşçı yemeği dün pişirecek.","0"
"5490","
        <div class=""panel"">
          <div class=""sentence-box"">Isıtıcı kahveyi ısıttı.</div>
          <div class=""scale-note"">Bu cümle size doğal geliyor mu?</div>
        </div>
      ","2","html-button-response","21","93351","0.0-20.0","p6qvd2p97k","MmjD9uQZYa6C","acceptability_rating","3","high_energy","critical","Isıtıcı kahveyi ısıttı.","2"
"2179","
        <div class=""panel"">
          <div class=""sentence-box"">Bebek annesine özledi.</div>
          <div class=""scale-note"">Bu cümle size doğal geliyor mu?</div>
        </div>
      ","1","html-button-response","22","95531","0.0-21.0","p6qvd2p97k","MmjD9uQZYa6C","acceptability_rating","40","case_marking_error","filler","Bebek annesine özledi.","1"
"2262","
        <div class=""panel"">
          <div class=""sentence-box"">Su gömleği kuruttu.</div>
          <div class=""scale-note"">Bu cümle size doğal geliyor mu?</div>
        </div>
      ","0","html-button-response","23","97795","0.0-22.0","p6qvd2p97k","MmjD9uQZYa6C","acceptability_rating","35","semantic_violation","filler","Su gömleği kuruttu.","0"
"3792","
        <div class=""panel"">
          <div class=""sentence-box"">Gözlük camı kelimeleri büyüttü.</div>
          <div class=""scale-note"">Bu cümle size doğal geliyor mu?</div>
        </div>
      ","0","html-button-response","24","101588","0.0-23.0","p6qvd2p97k","MmjD9uQZYa6C","acceptability_rating","7","high_energy","critical","Gözlük camı kelimeleri büyüttü.","0"
"2311","
        <div class=""panel"">
          <div class=""sentence-box"">Klima odayı soğuttu.</div>
          <div class=""scale-note"">Bu cümle size doğal geliyor mu?</div>
        </div>
      ","3","html-button-response","25","103901","0.0-24.0","p6qvd2p97k","MmjD9uQZYa6C","acceptability_rating","1","high_energy","critical","Klima odayı soğuttu.","3"
