"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","experiment_id","task","item_id","condition","item_type","sentence","rating"
"8435","
      <div class=""panel"">
        <h1>Hoşgeldiniz!</h1>
        <p class=""lede"">Ortalama 5-6 dakika süren bu çalışmada Türkçe cümlelerin kulağa doğal gelip gelmediğine karar vermeniz istenecek.</p>
        <p class=""lede"">Bu çalışmada doğru veya yanlış bir cevap bulunmuyor, karar verirken kendi içgüdülerinize göre davranmalısınız.</p>
        <p class=""lede"">Lütfen cümleleri gördüğünüzde dürüstçe ve dikkatlice karar veriniz.</p>
        <p class=""lede"">Devam butonuna basarak anadilinizin Türkçe olduğunu ve 18 yaşından büyük olduğunuzu onaylamış olacaksınız.</p>
        <p class=""lede"">Katılımınız için teşekkür ederim!</p>

        </div>
    ","0","html-button-response","0","8439","0.0-0.0-0.0","m61wav7oxy","MmjD9uQZYa6C","","","","","",""
"12295","
      <div class=""panel"">
        <h2>Yönerge</h2>
        <ul class=""intro-list"">
          <li>Cümleleri ardışık olarak birer kez göreceksiniz.</li>
          <li>Değerlendirmenizi belirtmek için 0'dan 4'e kadar sıralanmış butonları kullanınız.</li>
          <li>0 puan, cümleyi çok tuhaf bulduğunuz ve sizin bu cümleyi günlük hayatınızda kullanmayacağınız anlamına gelmektedir.</li>
          <li>4 puan cümlede hiçbir sorun yok anlamına gelmektedir.</li>
          <li>Derecelendirmeyi cümlenin rahatsız edicilik seviyesine göre belirleyiniz.</li>
          <li>Lütfen içgüdünüze güvenin!</li>
        </ul>
      </div>
    ","0","html-button-response","1","20737","0.0-0.0-1.0","m61wav7oxy","MmjD9uQZYa6C","","","","","",""
"5749","
        <div class=""panel"">
          <div class=""sentence-box"">Çalar saat çocukları uyandırdı.</div>
          <div class=""scale-note"">Bu cümle size doğal geliyor mu?</div>
        </div>
      ","2","html-button-response","2","26487","0.0-1.0","m61wav7oxy","MmjD9uQZYa6C","acceptability_rating","2","high_energy","critical","Çalar saat çocukları uyandırdı.","2"
"3132","
        <div class=""panel"">
          <div class=""sentence-box"">Aylin okula çok sevdi.</div>
          <div class=""scale-note"">Bu cümle size doğal geliyor mu?</div>
        </div>
      ","0","html-button-response","3","29620","0.0-2.0","m61wav7oxy","MmjD9uQZYa6C","acceptability_rating","37","case_marking_error","filler","Aylin okula çok sevdi.","0"
"3431","
        <div class=""panel"">
          <div class=""sentence-box"">Elektrikli su ısıtıcısı suyu kaynattı.</div>
          <div class=""scale-note"">Bu cümle size doğal geliyor mu?</div>
        </div>
      ","1","html-button-response","4","33054","0.0-3.0","m61wav7oxy","MmjD9uQZYa6C","acceptability_rating","6","high_energy","critical","Elektrikli su ısıtıcısı suyu kaynattı.","1"
"2867","
        <div class=""panel"">
          <div class=""sentence-box"">Askı gömleği düşürdü.</div>
          <div class=""scale-note"">Bu cümle size doğal geliyor mu?</div>
        </div>
      ","0","html-button-response","5","35922","0.0-4.0","m61wav7oxy","MmjD9uQZYa6C","acceptability_rating","20","low_energy","critical","Askı gömleği düşürdü.","0"
"3716","
        <div class=""panel"">
          <div class=""sentence-box"">Okul geçtiğimiz yıl 22 mezun verecek.</div>
          <div class=""scale-note"">Bu cümle size doğal geliyor mu?</div>
        </div>
      ","4","html-button-response","6","39639","0.0-5.0","m61wav7oxy","MmjD9uQZYa6C","acceptability_rating","43","tense_mismatch","filler","Okul geçtiğimiz yıl 22 mezun verecek.","4"
"3098","
        <div class=""panel"">
          <div class=""sentence-box"">Aşçı yemeği dün pişirecek.</div>
          <div class=""scale-note"">Bu cümle size doğal geliyor mu?</div>
        </div>
      ","0","html-button-response","7","42738","0.0-6.0","m61wav7oxy","MmjD9uQZYa6C","acceptability_rating","45","tense_mismatch","filler","Aşçı yemeği dün pişirecek.","0"
"2049","
        <div class=""panel"">
          <div class=""sentence-box"">Güneş kıyafetleri kuruttu.</div>
          <div class=""scale-note"">Bu cümle size doğal geliyor mu?</div>
        </div>
      ","4","html-button-response","8","44788","0.0-7.0","m61wav7oxy","MmjD9uQZYa6C","acceptability_rating","13","high_energy","critical","Güneş kıyafetleri kuruttu.","4"
"3033","
        <div class=""panel"">
          <div class=""sentence-box"">Annem bana yemeği dün yaptıracak.</div>
          <div class=""scale-note"">Bu cümle size doğal geliyor mu?</div>
        </div>
      ","0","html-button-response","9","47822","0.0-8.0","m61wav7oxy","MmjD9uQZYa6C","acceptability_rating","42","tense_mismatch","filler","Annem bana yemeği dün yaptıracak.","0"
