"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","experiment_id","prolific_pid","prolific_study_id","prolific_session_id","task","item_id","condition","item_type","sentence","rating"
"19999","
      <div class=""panel"">
        <h1>Hoşgeldiniz!</h1>
        <p class=""lede"">Ortalama 5-6 dakika süren bu çalışmada Türkçe cümlelerin kulağa doğal gelip gelmediğine karar vermeniz istenecek.</p>
        <p class=""lede"">Bu çalışmada doğru veya yanlış bir cevap bulunmuyor, karar verirken kendi içgüdülerinize göre davranmalısınız.</p>
        <p class=""lede"">Lütfen cümleleri gördüğünüzde dürüstçe ve dikkatlice karar veriniz.</p>
        <p class=""lede"">Devam butonuna basarak anadilinizin Türkçe olduğunu ve 18 yaşından büyük olduğunuzu onaylamış olacaksınız.</p>
        <p class=""lede"">Katılımınız için teşekkür ederim!</p>

        </div>
    ","0","html-button-response","0","20004","0.0-0.0-0.0","c65u8w0lau","MmjD9uQZYa6C","69d801b7ff73fd8726f49404","6a0b88ce4eefadb4f6c14042","6a0b8ba7a108b1af852639f0","","","","","",""
"13165","
      <div class=""panel"">
        <h2>Yönerge</h2>
        <ul class=""intro-list"">
          <li>Cümleleri ardışık olarak birer kez göreceksiniz.</li>
          <li>Değerlendirmenizi belirtmek için 0'dan 4'e kadar sıralanmış butonları kullanınız.</li>
          <li>0 puan, cümleyi çok tuhaf bulduğunuz ve sizin bu cümleyi günlük hayatınızda kullanmayacağınız anlamına gelmektedir.</li>
          <li>4 puan cümlede hiçbir sorun yok anlamına gelmektedir.</li>
          <li>Derecelendirmeyi cümlenin rahatsız edicilik seviyesine göre belirleyiniz.</li>
          <li>Lütfen içgüdünüze güvenin!</li>
        </ul>
      </div>
    ","0","html-button-response","1","33172","0.0-0.0-1.0","c65u8w0lau","MmjD9uQZYa6C","69d801b7ff73fd8726f49404","6a0b88ce4eefadb4f6c14042","6a0b8ba7a108b1af852639f0","","","","","",""
"4062","
        <div class=""panel"">
          <div class=""sentence-box"">Öğrenciler sessizliği ısıttı.</div>
          <div class=""scale-note"">Bu cümle size doğal geliyor mu?</div>
        </div>
      ","0","html-button-response","2","37236","0.0-1.0","c65u8w0lau","MmjD9uQZYa6C","69d801b7ff73fd8726f49404","6a0b88ce4eefadb4f6c14042","6a0b8ba7a108b1af852639f0","acceptability_rating","31","semantic_violation","filler","Öğrenciler sessizliği ısıttı.","0"
"3214","
        <div class=""panel"">
          <div class=""sentence-box"">Aylin okula çok sevdi.</div>
          <div class=""scale-note"">Bu cümle size doğal geliyor mu?</div>
        </div>
      ","0","html-button-response","3","40452","0.0-2.0","c65u8w0lau","MmjD9uQZYa6C","69d801b7ff73fd8726f49404","6a0b88ce4eefadb4f6c14042","6a0b8ba7a108b1af852639f0","acceptability_rating","37","case_marking_error","filler","Aylin okula çok sevdi.","0"
"6131","
        <div class=""panel"">
          <div class=""sentence-box"">Anahtar kapıyı kilitledi.</div>
          <div class=""scale-note"">Bu cümle size doğal geliyor mu?</div>
        </div>
      ","2","html-button-response","4","46585","0.0-3.0","c65u8w0lau","MmjD9uQZYa6C","69d801b7ff73fd8726f49404","6a0b88ce4eefadb4f6c14042","6a0b8ba7a108b1af852639f0","acceptability_rating","24","low_energy","critical","Anahtar kapıyı kilitledi.","2"
"2649","
        <div class=""panel"">
          <div class=""sentence-box"">Ocak eti pişirdi.</div>
          <div class=""scale-note"">Bu cümle size doğal geliyor mu?</div>
        </div>
      ","0","html-button-response","5","49235","0.0-4.0","c65u8w0lau","MmjD9uQZYa6C","69d801b7ff73fd8726f49404","6a0b88ce4eefadb4f6c14042","6a0b8ba7a108b1af852639f0","acceptability_rating","12","high_energy","critical","Ocak eti pişirdi.","0"
"2715","
        <div class=""panel"">
          <div class=""sentence-box"">Kaşık dondurmayı taşıdı.</div>
          <div class=""scale-note"">Bu cümle size doğal geliyor mu?</div>
        </div>
      ","0","html-button-response","6","51952","0.0-5.0","c65u8w0lau","MmjD9uQZYa6C","69d801b7ff73fd8726f49404","6a0b88ce4eefadb4f6c14042","6a0b8ba7a108b1af852639f0","acceptability_rating","28","low_energy","critical","Kaşık dondurmayı taşıdı.","0"
"4581","
        <div class=""panel"">
          <div class=""sentence-box"">Güneş kıyafetleri kuruttu.</div>
          <div class=""scale-note"">Bu cümle size doğal geliyor mu?</div>
        </div>
      ","3","html-button-response","7","56535","0.0-6.0","c65u8w0lau","MmjD9uQZYa6C","69d801b7ff73fd8726f49404","6a0b88ce4eefadb4f6c14042","6a0b8ba7a108b1af852639f0","acceptability_rating","13","high_energy","critical","Güneş kıyafetleri kuruttu.","3"
"8099","
        <div class=""panel"">
          <div class=""sentence-box"">Renkler buzu soğuttu.</div>
          <div class=""scale-note"">Bu cümle size doğal geliyor mu?</div>
        </div>
      ","1","html-button-response","8","64635","0.0-7.0","c65u8w0lau","MmjD9uQZYa6C","69d801b7ff73fd8726f49404","6a0b88ce4eefadb4f6c14042","6a0b8ba7a108b1af852639f0","acceptability_rating","36","semantic_violation","filler","Renkler buzu soğuttu.","1"
"2832","
        <div class=""panel"">
          <div class=""sentence-box"">Aşçı yemeği dün pişirecek.</div>
          <div class=""scale-note"">Bu cümle size doğal geliyor mu?</div>
        </div>
      ","0","html-button-response","9","67468","0.0-8.0","c65u8w0lau","MmjD9uQZYa6C","69d801b7ff73fd8726f49404","6a0b88ce4eefadb4f6c14042","6a0b8ba7a108b1af852639f0","acceptability_rating","45","tense_mismatch","filler","Aşçı yemeği dün pişirecek.","0"
