"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","experiment_id","task","item_id","condition","item_type","sentence","rating"
"17530","
      <div class=""panel"">
        <h1>Hoşgeldiniz!</h1>
        <p class=""lede"">Ortalama 5-6 dakika süren bu çalışmada Türkçe cümlelerin kulağa doğal gelip gelmediğine karar vermeniz istenecek.</p>
        <p class=""lede"">Bu çalışmada doğru veya yanlış bir cevap bulunmuyor, karar verirken kendi içgüdülerinize göre davranmalısınız.</p>
        <p class=""lede"">Lütfen cümleleri gördüğünüzde dürüstçe ve dikkatlice karar veriniz.</p>
        <p class=""lede"">Devam butonuna basarak anadilinizin Türkçe olduğunu ve 18 yaşından büyük olduğunuzu onaylamış olacaksınız.</p>
        <p class=""lede"">Katılımınız için teşekkür ederim!</p>

        </div>
    ","0","html-button-response","0","17536","0.0-0.0-0.0","5y610ky0xx","MmjD9uQZYa6C","","","","","",""
"2369","
      <div class=""panel"">
        <h2>Yönerge</h2>
        <ul class=""intro-list"">
          <li>Cümleleri ardışık olarak birer kez göreceksiniz.</li>
          <li>Değerlendirmenizi belirtmek için 0'dan 4'e kadar sıralanmış butonları kullanınız.</li>
          <li>0 puan, cümleyi çok tuhaf bulduğunuz ve sizin bu cümleyi günlük hayatınızda kullanmayacağınız anlamına gelmektedir.</li>
          <li>4 puan cümlede hiçbir sorun yok anlamına gelmektedir.</li>
          <li>Derecelendirmeyi cümlenin rahatsız edicilik seviyesine göre belirleyiniz.</li>
          <li>Lütfen içgüdünüze güvenin!</li>
        </ul>
      </div>
    ","0","html-button-response","1","19906","0.0-0.0-1.0","5y610ky0xx","MmjD9uQZYa6C","","","","","",""
"11662","
        <div class=""panel"">
          <div class=""sentence-box"">Mum odayı aydınlattı.</div>
          <div class=""scale-note"">Bu cümle size doğal geliyor mu?</div>
        </div>
      ","4","html-button-response","2","31571","0.0-1.0","5y610ky0xx","MmjD9uQZYa6C","acceptability_rating","4","high_energy","critical","Mum odayı aydınlattı.","4"
"7321","
        <div class=""panel"">
          <div class=""sentence-box"">Topuklu ayakkabı zemini çizdi.</div>
          <div class=""scale-note"">Bu cümle size doğal geliyor mu?</div>
        </div>
      ","4","html-button-response","3","38894","0.0-2.0","5y610ky0xx","MmjD9uQZYa6C","acceptability_rating","21","low_energy","critical","Topuklu ayakkabı zemini çizdi.","4"
"4905","
        <div class=""panel"">
          <div class=""sentence-box"">Silgi lekeyi sildi.</div>
          <div class=""scale-note"">Bu cümle size doğal geliyor mu?</div>
        </div>
      ","0","html-button-response","4","43801","0.0-3.0","5y610ky0xx","MmjD9uQZYa6C","acceptability_rating","18","low_energy","critical","Silgi lekeyi sildi.","0"
"2896","
        <div class=""panel"">
          <div class=""sentence-box"">Anahtar kapıyı kilitledi.</div>
          <div class=""scale-note"">Bu cümle size doğal geliyor mu?</div>
        </div>
      ","4","html-button-response","5","46700","0.0-4.0","5y610ky0xx","MmjD9uQZYa6C","acceptability_rating","24","low_energy","critical","Anahtar kapıyı kilitledi.","4"
"4981","
        <div class=""panel"">
          <div class=""sentence-box"">Kaşık dondurmayı taşıdı.</div>
          <div class=""scale-note"">Bu cümle size doğal geliyor mu?</div>
        </div>
      ","0","html-button-response","6","51683","0.0-5.0","5y610ky0xx","MmjD9uQZYa6C","acceptability_rating","28","low_energy","critical","Kaşık dondurmayı taşıdı.","0"
"5198","
        <div class=""panel"">
          <div class=""sentence-box"">Tirbuşon şişeyi açtı.</div>
          <div class=""scale-note"">Bu cümle size doğal geliyor mu?</div>
        </div>
      ","3","html-button-response","7","56884","0.0-6.0","5y610ky0xx","MmjD9uQZYa6C","acceptability_rating","17","low_energy","critical","Tirbuşon şişeyi açtı.","3"
"11323","
        <div class=""panel"">
          <div class=""sentence-box"">Yıldırım bekçiyi öldürdü.</div>
          <div class=""scale-note"">Bu cümle size doğal geliyor mu?</div>
        </div>
      ","1","html-button-response","8","68208","0.0-7.0","5y610ky0xx","MmjD9uQZYa6C","acceptability_rating","8","high_energy","critical","Yıldırım bekçiyi öldürdü.","1"
"5641","
        <div class=""panel"">
          <div class=""sentence-box"">Çocuklar karanlığı çok korktu.</div>
          <div class=""scale-note"">Bu cümle size doğal geliyor mu?</div>
        </div>
      ","0","html-button-response","9","73851","0.0-8.0","5y610ky0xx","MmjD9uQZYa6C","acceptability_rating","39","case_marking_error","filler","Çocuklar karanlığı çok korktu.","0"
"2738","
        <div class=""panel"">
          <div class=""sentence-box"">Çalar saat çocukları uyandırdı.</div>
          <div class=""scale-note"">Bu cümle size doğal geliyor mu?</div>
        </div>
      ","4","html-button-response","10","76592","0.0-9.0","5y610ky0xx","MmjD9uQZYa6C","acceptability_rating","2","high_energy","critical","Çalar saat çocukları uyandırdı.","4"
"3263","
        <div class=""panel"">
          <div class=""sentence-box"">Taş pencereyi kırdı.</div>
          <div class=""scale-note"">Bu cümle size doğal geliyor mu?</div>
        </div>
      ","3","html-button-response","11","79857","0.0-10.0","5y610ky0xx","MmjD9uQZYa6C","acceptability_rating","29","low_energy","critical","Taş pencereyi kırdı.","3"
